3968.273953133, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.304372367, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.334944839, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.364350863, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.394294195, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.423283188, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.454427171, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.485065995, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.516840712, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.543730471, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.575334134, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.606905409, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.634222959, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.664936541, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.696514482, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.730879797, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.753934751, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.784820424, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.814964346, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.844329815, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.87386556, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.905831478, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.935973937, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.964221179, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.995015278, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3969.024086121, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3969.054046713, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3969.082497026, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3969.114635979, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3969.121990703, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3969.664600989, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3969.68674001, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3969.715240101, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3969.747415683, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.340776376, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.37781475, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.391885853, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.425185329, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.453459737, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.483591215, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.513844155, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.546204438, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.575756886, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.602676478, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.633393319, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
